Alpha,T1_Re1.000_M0.00_N9.0, , 
          6.8,    0.01401336, , 
          6.9,    0.01414152, , 
            7,    0.01427076, , 
          7.1,    0.01440101, , 
          7.2,    0.01453069, , 
          7.3,    0.01466628, , 
          7.4,    0.01482368, , 
          7.5,    0.01499104, , 
          7.6,    0.01516465, , 
          7.7,    0.01534221, , 
          7.8,    0.01552129, , 
          7.9,    0.01569981, , 
            8,    0.01587637, , 
          8.1,    0.01604996, , 
          8.2,    0.01621992, , 
          8.3,    0.01638527, , 
          8.4,    0.01653866, , 
          8.5,    0.01668614, , 
          8.6,    0.01683798, , 
          8.7,    0.01700987, , 
          8.8,    0.01718466, , 
          8.9,    0.01736253, , 
            9,    0.01754339, , 
          9.1,    0.01772723, , 
          9.2,     0.0179141, , 
          9.3,    0.01810408, , 
          9.4,    0.01829726, , 
          9.5,    0.01849379, , 
          9.6,    0.01869374, , 
          9.7,    0.01889726, , 
          9.8,    0.01910728, , 
          9.9,    0.01932282, , 
           10,    0.01954237, , 
         10.1,    0.01976606, , 
         10.2,    0.01999413, , 
         10.3,    0.02022673, , 
         10.4,    0.02046404, , 
         10.5,    0.02070625, , 
         10.6,    0.02095352, , 
         10.7,    0.02120604, , 
         10.8,    0.02146586, , 
         10.9,    0.02173294, , 
           11,    0.02200605, , 
         11.1,    0.02228543, , 
         11.2,    0.02257129, , 
         11.3,    0.02286342, , 
         11.4,    0.02316248, , 
         11.5,    0.02346916, , 
         11.6,    0.02378379, , 
         11.7,    0.02410786, , 
         11.8,    0.02444837, , 
         11.9,    0.02479813, , 
           12,    0.02515324, , 
         12.1,    0.02552301, , 
         12.2,    0.02590319, , 
         12.3,    0.02629224, , 
         12.4,    0.02669648, , 
         12.5,    0.02711992, , 
         12.6,    0.02756784, , 
         12.7,    0.02806108, , 
         12.8,    0.02858084, , 
         12.9,    0.02911438, , 
           13,    0.02966318, , 
         13.1,    0.03023316, , 
         13.2,    0.03089694, , 
         13.3,    0.03163363, , 
         13.4,    0.03232946, , 
         13.5,    0.03301125, , 
         13.6,    0.03370369, , 
         13.7,    0.03442036, , 
         13.8,    0.03517052, , 
         13.9,    0.03596573, , 
           14,     0.0368174, , 
