Alpha,T1_Re1.000_M0.00_N9.0, , 
          5.6,   -0.07222479, , 
          5.7,   -0.07217514, , 
          5.8,   -0.07212253, , 
          5.9,   -0.07206715, , 
            6,   -0.07200907, , 
          6.1,   -0.07194778, , 
          6.2,   -0.07188349, , 
          6.3,   -0.07181654, , 
          6.4,   -0.07174699, , 
          6.5,   -0.07167312, , 
          6.6,   -0.07159623, , 
          6.7,   -0.07151632, , 
          6.8,   -0.07141685, , 
          6.9,    -0.0713327, , 
            7,   -0.07124671, , 
          7.1,   -0.07115819, , 
          7.2,   -0.07106733, , 
          7.3,   -0.07094282, , 
          7.4,    -0.0708267, , 
          7.5,   -0.07069808, , 
          7.6,   -0.07056006, , 
          7.7,   -0.07041381, , 
          7.8,   -0.07026297, , 
          7.9,   -0.07011027, , 
            8,   -0.06995721, , 
          8.1,   -0.06980486, , 
          8.2,   -0.06965394, , 
          8.3,   -0.06950575, , 
          8.4,    -0.0693678, , 
          8.5,   -0.06923377, , 
          8.6,   -0.06909232, , 
          8.7,   -0.06892576, , 
          8.8,   -0.06875288, , 
          8.9,   -0.06857334, , 
            9,   -0.06838709, , 
          9.1,   -0.06819394, , 
          9.2,   -0.06799364, , 
          9.3,   -0.06778589, , 
          9.4,   -0.06757034, , 
          9.5,    -0.0673466, , 
          9.6,   -0.06711429, , 
          9.7,   -0.06687296, , 
          9.8,   -0.06661832, , 
          9.9,   -0.06635225, , 
           10,   -0.06607544, , 
         10.1,    -0.0657874, , 
         10.2,   -0.06548746, , 
         10.3,   -0.06517499, , 
         10.4,   -0.06484926, , 
         10.5,   -0.06450952, , 
         10.6,   -0.06415493, , 
         10.7,    -0.0637847, , 
         10.8,   -0.06339533, , 
         10.9,   -0.06298607, , 
           11,   -0.06255767, , 
         11.1,    -0.0621089, , 
         11.2,   -0.06163839, , 
         11.3,   -0.06114532, , 
         11.4,   -0.06062749, , 
         11.5,   -0.06008244, , 
         11.6,   -0.05950803, , 
         11.7,   -0.05890004, , 
         11.8,   -0.05824478, , 
         11.9,   -0.05754595, , 
           12,   -0.05664918, , 
         12.1,   -0.05566464, , 
         12.2,   -0.05460159, , 
         12.3,   -0.05347621, , 
         12.4,   -0.05238452, , 
         12.5,   -0.05135122, , 
         12.6,   -0.05034891, , 
         12.7,   -0.04929994, , 
         12.8,   -0.04829652, , 
         12.9,   -0.04737681, , 
           13,   -0.04651597, , 
         13.1,   -0.04569433, , 
         13.2,    -0.0447919, , 
         13.3,   -0.04388302, , 
         13.4,   -0.04308143, , 
         13.5,   -0.04233274, , 
         13.6,   -0.04165201, , 
         13.7,   -0.04103026, , 
         13.8,   -0.04045786, , 
         13.9,   -0.03992897, , 
           14,   -0.03944439, , 
         14.1,   -0.03901265, , 
         14.2,   -0.03873963, , 
         14.3,   -0.03858783, , 
         14.4,   -0.03845135, , 
         14.5,   -0.03836078, , 
         14.6,   -0.03856679, , 
         14.7,   -0.03899343, , 
         14.8,   -0.03915547, , 
         14.9,   -0.03928071, , 
           15,   -0.03943101, , 
         15.1,    -0.0396538, , 
         15.2,   -0.04023114, , 
         15.3,   -0.04140281, , 
         15.4,   -0.04186556, , 
         15.5,   -0.04229384, , 
         15.6,   -0.04280883, , 
         15.7,   -0.04353185, , 
         15.8,   -0.04591583, , 
         15.9,   -0.04673921, , 
           16,   -0.04746171, , 
         16.1,    -0.0482351, , 
         16.2,   -0.04917434, , 
         16.3,   -0.05222141, , 
         16.4,   -0.05361394, , 
         16.5,   -0.05469137, , 
         16.6,   -0.05572294, , 
         16.7,   -0.05679883, , 
         16.8,   -0.05802927, , 
         16.9,   -0.06063393, , 
